5833531,3952.00,2019-02-19_15:36:27.739106
5833631,3953.00,2019-02-19_15:36:27.838839
5833731,3951.00,2019-02-19_15:36:27.936609
5833831,3951.00,2019-02-19_15:36:28.038336
5833931,3959.00,2019-02-19_15:36:28.138095
5834031,3953.00,2019-02-19_15:36:28.238824
5834131,3943.00,2019-02-19_15:36:28.338573
5834231,3951.00,2019-02-19_15:36:28.438291
5834331,3951.00,2019-02-19_15:36:28.538025
5834431,3953.00,2019-02-19_15:36:28.638755
5834531,3951.00,2019-02-19_15:36:28.737414
5834631,3955.00,2019-02-19_15:36:28.837337
5834731,3955.00,2019-02-19_15:36:28.937073
5834831,3951.00,2019-02-19_15:36:29.037804
5834931,3959.00,2019-02-19_15:36:29.137539
5835031,3951.00,2019-02-19_15:36:29.238447
5835131,3953.00,2019-02-19_15:36:29.337722
5835231,3955.00,2019-02-19_15:36:29.437978
5835331,3951.00,2019-02-19_15:36:29.538247
5835431,3951.00,2019-02-19_15:36:29.637938
5835531,3957.00,2019-02-19_15:36:29.737713
5835631,3951.00,2019-02-19_15:36:29.836913
5835731,3953.00,2019-02-19_15:36:29.937643
5835831,3955.00,2019-02-19_15:36:30.037383
5835931,3967.00,2019-02-19_15:36:30.139150
5836031,3955.00,2019-02-19_15:36:30.238844
5836131,3953.00,2019-02-19_15:36:30.339185
5836231,3958.00,2019-02-19_15:36:30.436895
5836331,3953.00,2019-02-19_15:36:30.537624
5836431,3951.00,2019-02-19_15:36:30.638439
5836531,3953.00,2019-02-19_15:36:30.738175
5836631,3952.00,2019-02-19_15:36:30.838964
5836731,3953.00,2019-02-19_15:36:30.937719
5836831,3951.00,2019-02-19_15:36:31.037963
5836931,3951.00,2019-02-19_15:36:31.140251
5837031,3953.00,2019-02-19_15:36:31.239296
5837131,3955.00,2019-02-19_15:36:31.337519
5837231,3955.00,2019-02-19_15:36:31.438251
5837331,3954.00,2019-02-19_15:36:31.537984
5837431,3955.00,2019-02-19_15:36:31.637576
5837531,3955.00,2019-02-19_15:36:31.738265
5837631,3951.00,2019-02-19_15:36:31.838000
5837731,3955.00,2019-02-19_15:36:31.937206
5837831,3952.00,2019-02-19_15:36:32.038942
5837931,3951.00,2019-02-19_15:36:32.140663
5838031,3959.00,2019-02-19_15:36:32.237402
5838131,3953.00,2019-02-19_15:36:32.340127
5838231,3955.00,2019-02-19_15:36:32.438863
5838331,3953.00,2019-02-19_15:36:32.536833
5838431,3954.00,2019-02-19_15:36:32.638562
5838531,3955.00,2019-02-19_15:36:32.737329
5838631,3954.00,2019-02-19_15:36:32.838064
5838731,3951.00,2019-02-19_15:36:32.938379
5838831,3953.00,2019-02-19_15:36:33.037622
5838931,3955.00,2019-02-19_15:36:33.138353
5839031,3952.00,2019-02-19_15:36:33.242076
5839131,3955.00,2019-02-19_15:36:33.338820
5839231,3957.00,2019-02-19_15:36:33.437553
5839331,3953.00,2019-02-19_15:36:33.538311
5839431,3952.00,2019-02-19_15:36:33.643054
5839531,3953.00,2019-02-19_15:36:33.736413
5839631,3955.00,2019-02-19_15:36:33.839089
5839731,3953.00,2019-02-19_15:36:33.937827
5839831,3955.00,2019-02-19_15:36:34.038556
5839931,3957.00,2019-02-19_15:36:34.138873
5840031,3963.00,2019-02-19_15:36:34.238698
5840131,3953.00,2019-02-19_15:36:34.343420
5840231,3955.00,2019-02-19_15:36:34.438854
5840331,3951.00,2019-02-19_15:36:34.537590
5840431,3952.00,2019-02-19_15:36:34.641312
5840531,3952.00,2019-02-19_15:36:34.738053
5840631,3954.00,2019-02-19_15:36:34.839775
5840731,3951.00,2019-02-19_15:36:34.943937
5840831,3951.00,2019-02-19_15:36:35.038679
5840931,3955.00,2019-02-19_15:36:35.140406
5841031,3951.00,2019-02-19_15:36:35.241138
5841131,3957.00,2019-02-19_15:36:35.345552
5841231,3953.00,2019-02-19_15:36:35.442144
5841331,3955.00,2019-02-19_15:36:35.540879
5841431,3951.00,2019-02-19_15:36:35.636623
5841531,3952.00,2019-02-19_15:36:35.738351
5841631,3953.00,2019-02-19_15:36:35.838083
5841731,3953.00,2019-02-19_15:36:35.937817
5841831,3943.00,2019-02-19_15:36:36.039600
5841931,3959.00,2019-02-19_15:36:36.137905
5842031,3947.00,2019-02-19_15:36:36.238636
5842131,3951.00,2019-02-19_15:36:36.340110
5842231,3953.00,2019-02-19_15:36:36.437807
5842331,3957.00,2019-02-19_15:36:36.537549
5842431,3955.00,2019-02-19_15:36:36.641968
5842531,3951.00,2019-02-19_15:36:36.736186
5842631,3955.00,2019-02-19_15:36:36.840905
5842731,3953.00,2019-02-19_15:36:36.938702
5842831,3951.00,2019-02-19_15:36:37.038377
5842931,3955.00,2019-02-19_15:36:37.139133
5843031,3951.00,2019-02-19_15:36:37.237855
5843131,3955.00,2019-02-19_15:36:37.341580
5843231,3952.00,2019-02-19_15:36:37.444005
5843331,3957.00,2019-02-19_15:36:37.539751
5843431,3955.00,2019-02-19_15:36:37.641475
5843531,3952.00,2019-02-19_15:36:37.737219
5843631,3953.00,2019-02-19_15:36:37.837948
5843731,3951.00,2019-02-19_15:36:37.936684
5843831,3955.00,2019-02-19_15:36:38.036926
5843931,3951.00,2019-02-19_15:36:38.137692
5844031,3953.00,2019-02-19_15:36:38.243417
5844131,3953.00,2019-02-19_15:36:38.338324
5844231,3947.00,2019-02-19_15:36:38.439096
5844331,3953.00,2019-02-19_15:36:38.538705
5844431,3951.00,2019-02-19_15:36:38.642462
5844531,3935.00,2019-02-19_15:36:38.735783
5844631,3953.00,2019-02-19_15:36:38.837843
5844731,3951.00,2019-02-19_15:36:38.937770
5844831,3951.00,2019-02-19_15:36:39.037015
5844931,3967.00,2019-02-19_15:36:39.137746
5845031,3955.00,2019-02-19_15:36:39.240470
5845131,3955.00,2019-02-19_15:36:39.340204
5845231,3952.00,2019-02-19_15:36:39.440075
5845331,3949.00,2019-02-19_15:36:39.536816
5845431,3947.00,2019-02-19_15:36:39.636549
5845531,3951.00,2019-02-19_15:36:39.736283
5845631,3953.00,2019-02-19_15:36:39.836016
5845731,3951.00,2019-02-19_15:36:39.940738
5845831,3951.00,2019-02-19_15:36:40.040468
5845931,3947.00,2019-02-19_15:36:40.137210
5846031,3951.00,2019-02-19_15:36:40.236944
5846131,3947.00,2019-02-19_15:36:40.337673
5846231,3951.00,2019-02-19_15:36:40.436411
5846331,3942.00,2019-02-19_15:36:40.535835
5846431,3943.00,2019-02-19_15:36:40.636566
