71739,860,1569,690,8/11/2018 13:54
71759,906,1566,685,8/11/2018 13:54
71779,1052,1565,664,8/11/2018 13:54
71799,1258,1569,688,8/11/2018 13:54
71819,1485,1562,721,8/11/2018 13:54
71839,1698,1568,688,8/11/2018 13:54
71859,1836,1567,698,8/11/2018 13:54
71879,1872,1567,688,8/11/2018 13:54
71899,1822,1565,688,8/11/2018 13:54
71919,1717,1584,693,8/11/2018 13:54
71939,1594,1569,688,8/11/2018 13:54
71959,1482,1570,688,8/11/2018 13:54
71979,1401,1568,728,8/11/2018 13:54
71999,1356,1569,678,8/11/2018 13:54
72019,1344,1579,689,8/11/2018 13:54
72039,1357,1567,688,8/11/2018 13:54
72059,1386,1570,692,8/11/2018 13:54
72079,1427,1535,688,8/11/2018 13:54
72099,1498,1568,688,8/11/2018 13:54
72119,1664,1568,688,8/11/2018 13:54
72139,2118,1568,688,8/11/2018 13:54
72159,2798,1568,688,8/11/2018 13:54
72179,3539,1568,688,8/11/2018 13:54
72199,3867,1569,688,8/11/2018 13:54
72219,3679,1568,688,8/11/2018 13:54
72239,3070,1567,688,8/11/2018 13:54
72259,2480,1565,689,8/11/2018 13:54
72279,1931,1572,688,8/11/2018 13:54
72299,1456,1568,686,8/11/2018 13:54
72319,1116,1570,688,8/11/2018 13:54
72339,912,1568,688,8/11/2018 13:54
72359,850,1566,686,8/11/2018 13:54
72379,906,1563,659,8/11/2018 13:54
72399,1056,1563,688,8/11/2018 13:54
72419,1267,1561,688,8/11/2018 13:54
72439,1499,1562,688,8/11/2018 13:54
72459,1710,1562,688,8/11/2018 13:54
72479,1847,1558,688,8/11/2018 13:54
72499,1897,1561,688,8/11/2018 13:54
72519,1861,1583,689,8/11/2018 13:54
72539,1766,1559,688,8/11/2018 13:54
72559,1653,1563,688,8/11/2018 13:54
72579,1535,1561,688,8/11/2018 13:54
72599,1456,1559,687,8/11/2018 13:54
72619,1405,1561,688,8/11/2018 13:54
72639,1380,1561,685,8/11/2018 13:54
72659,1390,1554,688,8/11/2018 13:54
72679,1420,1562,688,8/11/2018 13:54
72699,1503,1535,688,8/11/2018 13:54
72719,1815,1557,688,8/11/2018 13:54
72739,2473,1558,688,8/11/2018 13:54
72759,3327,1563,692,8/11/2018 13:54
72779,3867,1559,688,8/11/2018 13:54
72799,3867,1562,688,8/11/2018 13:54
72819,3871,1562,686,8/11/2018 13:54
72839,3309,1566,688,8/11/2018 13:54
72859,2613,1555,690,8/11/2018 13:54
72879,2005,1563,688,8/11/2018 13:54
72899,1507,1555,672,8/11/2018 13:54
72919,1157,1562,688,8/11/2018 13:54
72939,950,1558,688,8/11/2018 13:54
