time,heart,breath,gsr,date
165931,2293,1584,1395,2019-03-11_12:55:02.536000
166031,2326,1584,1360,2019-03-11_12:55:02.666000
166131,2334,1582,1390,2019-03-11_12:55:02.751000
166231,2317,1562,1373,2019-03-11_12:55:02.827000
166331,2350,1584,1392,2019-03-11_12:55:02.934000
166431,2352,1587,1371,2019-03-11_12:55:03.077000
166531,2343,1584,1365,2019-03-11_12:55:03.207000
166631,2394,1591,1333,2019-03-11_12:55:03.294000
166731,2294,1584,1386,2019-03-11_12:55:03.385000
166831,2377,1585,1392,2019-03-11_12:55:03.502000
166931,2391,1584,1376,2019-03-11_12:55:03.636000
167031,2373,1583,1392,2019-03-11_12:55:03.819000
167131,2375,1584,1401,2019-03-11_12:55:03.919000
167231,2386,1585,1364,2019-03-11_12:55:04.046000
167331,2394,1570,1388,2019-03-11_12:55:04.196000
167431,2365,1584,1389,2019-03-11_12:55:04.338000
167531,2336,1586,1375,2019-03-11_12:55:04.396000
167631,2381,1585,1387,2019-03-11_12:55:04.459000
167731,2381,1585,1411,2019-03-11_12:55:04.565000
167831,2363,1562,1379,2019-03-11_12:55:04.688000
167931,2393,1583,1371,2019-03-11_12:55:04.824000
168031,2423,1588,1354,2019-03-11_12:55:04.970000
168131,2431,1584,1356,2019-03-11_12:55:05.108000
168231,2352,1584,1374,2019-03-11_12:55:05.272000
168331,2416,1584,1342,2019-03-11_12:55:05.431000
168431,2415,1584,1375,2019-03-11_12:55:05.580000
168531,2391,1565,1376,2019-03-11_12:55:05.754000
168631,2403,1584,1391,2019-03-11_12:55:05.894000
168731,2395,1586,1422,2019-03-11_12:55:06.044000
168831,2390,1584,1362,2019-03-11_12:55:06.188000
168931,2417,1579,1361,2019-03-11_12:55:06.302000
169031,2349,1585,1392,2019-03-11_12:55:06.357000
169131,2382,1584,1410,2019-03-11_12:55:06.459000
169231,2397,1579,1369,2019-03-11_12:55:06.594000
169331,2385,1586,1391,2019-03-11_12:55:06.725000
169431,2407,1584,1395,2019-03-11_12:55:06.839000
169531,2416,1591,1401,2019-03-11_12:55:06.902000
169631,2417,1586,1424,2019-03-11_12:55:07.043000
169731,2443,1584,1409,2019-03-11_12:55:07.182000
