2018-11-26_12:38:25.713000,1773.00,1855.00
2018-11-26_12:38:25.841000,1896.00,1786.00
2018-11-26_12:38:25.964000,1436.00,1872.00
2018-11-26_12:38:26.091000,1367.00,1885.00
2018-11-26_12:38:26.196000,1535.00,1842.00
2018-11-26_12:38:26.319000,3549.00,1862.00
2018-11-26_12:38:26.445000,2225.00,1868.00
2018-11-26_12:38:26.570000,1606.00,1858.00
2018-11-26_12:38:26.695000,1872.00,1870.00
2018-11-26_12:38:26.802000,1427.00,1863.00
2018-11-26_12:38:26.898000,1326.00,1840.00
2018-11-26_12:38:26.998000,1378.00,1868.00
2018-11-26_12:38:27.124000,2992.00,1834.00
2018-11-26_12:38:27.251000,2323.00,1835.00
2018-11-26_12:38:27.379000,1296.00,1742.00
2018-11-26_12:38:27.504000,1910.00,1857.00
2018-11-26_12:38:27.632000,1458.00,1840.00
2018-11-26_12:38:27.760000,1233.00,1809.00
2018-11-26_12:38:27.879000,1387.00,1815.00
2018-11-26_12:38:27.998000,3227.00,1799.00
2018-11-26_12:38:28.082000,2352.00,1833.00
2018-11-26_12:38:28.210000,1424.00,1778.00
2018-11-26_12:38:28.337000,1888.00,1852.00
2018-11-26_12:38:28.464000,1482.00,1830.00
2018-11-26_12:38:28.593000,1285.00,1883.00
2018-11-26_12:38:28.722000,1456.00,1809.00
2018-11-26_12:38:28.851000,1408.00,1908.00
2018-11-26_12:38:28.977000,3067.00,1782.00
2018-11-26_12:38:29.118000,3285.00,1797.00
2018-11-26_12:38:29.245000,1843.00,1808.00
2018-11-26_12:38:29.378000,1890.00,1863.00
2018-11-26_12:38:29.512000,1655.00,1814.00
2018-11-26_12:38:29.626000,1294.00,1799.00
2018-11-26_12:38:29.759000,1360.00,1787.00
2018-11-26_12:38:29.889000,1371.00,1820.00
2018-11-26_12:38:30.012000,2541.00,1793.00
2018-11-26_12:38:30.138000,3219.00,1807.00
2018-11-26_12:38:30.265000,1636.00,1799.00
2018-11-26_12:38:30.398000,1730.00,1794.00
2018-11-26_12:38:30.529000,1643.00,1797.00
2018-11-26_12:38:30.661000,1173.00,1788.00
2018-11-26_12:38:30.791000,1185.00,1783.00
2018-11-26_12:38:30.906000,1271.00,1735.00
2018-11-26_12:38:31.001000,1811.00,1776.00
2018-11-26_12:38:31.133000,3421.00,1777.00
2018-11-26_12:38:31.265000,1669.00,1776.00
2018-11-26_12:38:31.400000,1566.00,1776.00
2018-11-26_12:38:31.531000,1858.00,1714.00
2018-11-26_12:38:31.664000,1285.00,1779.00
2018-11-26_12:38:31.795000,1273.00,1753.00
2018-11-26_12:38:31.929000,1441.00,1761.00
2018-11-26_12:38:32.061000,3199.00,1755.00
2018-11-26_12:38:32.195000,2033.00,1744.00
2018-11-26_12:38:32.326000,1294.00,1744.00
2018-11-26_12:38:32.512000,2004.00,1744.00
2018-11-26_12:38:32.648000,1423.00,1744.00
2018-11-26_12:38:32.782000,1264.00,1744.00
2018-11-26_12:38:32.916000,1840.00,1743.00
2018-11-26_12:38:33.043000,3551.00,1751.00
2018-11-26_12:38:33.158000,1675.00,1738.00
2018-11-26_12:38:33.284000,1568.00,1746.00
2018-11-26_12:38:33.410000,1945.00,1731.00
2018-11-26_12:38:33.522000,1283.00,1735.00
2018-11-26_12:38:33.648000,1337.00,1734.00
2018-11-26_12:38:33.776000,3871.00,1744.00
2018-11-26_12:38:33.903000,3216.00,1744.00
2018-11-26_12:38:34.029000,1636.00,1745.00
2018-11-26_12:38:34.156000,1898.00,1730.00
2018-11-26_12:38:34.283000,1568.00,1707.00
2018-11-26_12:38:34.408000,1246.00,1730.00
2018-11-26_12:38:34.534000,1399.00,1698.00
2018-11-26_12:38:34.720000,3363.00,1700.00
2018-11-26_12:38:34.814000,3863.00,1698.00
2018-11-26_12:38:34.940000,1809.00,1691.00
2018-11-26_12:38:35.066000,1698.00,1682.00
2018-11-26_12:38:35.195000,1518.00,1678.00
2018-11-26_12:38:35.320000,1172.00,1664.00
2018-11-26_12:38:35.434000,1287.00,1646.00
2018-11-26_12:38:35.620000,1336.00,1654.00
2018-11-26_12:38:35.717000,1877.00,1641.00
2018-11-26_12:38:35.844000,3869.00,1638.00
2018-11-26_12:38:35.973000,2111.00,1623.00
2018-11-26_12:38:36.097000,1526.00,1616.00
2018-11-26_12:38:36.224000,1702.00,1609.00
2018-11-26_12:38:36.354000,1228.00,1604.00
2018-11-26_12:38:36.469000,1244.00,1584.00
2018-11-26_12:38:36.583000,1343.00,1580.00
2018-11-26_12:38:36.713000,1206.00,1598.00
2018-11-26_12:38:36.842000,2867.00,1584.00
2018-11-26_12:38:36.971000,2909.00,1574.00
2018-11-26_12:38:37.102000,1422.00,1567.00
2018-11-26_12:38:37.217000,1763.00,1555.00
2018-11-26_12:38:37.328000,1505.00,1571.00
2018-11-26_12:38:37.460000,1166.00,1559.00
