time,pulse,breath,gsr,datetime
t: 867019,p: 2691.00,b: 1307.00,g: 4095.00,2018-10-31_16:30:27.446000
t: 867039,p: 2687.00,b: 1309.00,g: 4095.00,2018-10-31_16:30:27.497000
t: 867059,p: 2687.00,b: 1311.00,g: 4095.00,2018-10-31_16:30:27.547000
t: 867079,p: 2687.00,b: 1309.00,g: 4095.00,2018-10-31_16:30:27.603000
t: 867099,p: 2687.00,b: 1315.00,g: 4095.00,2018-10-31_16:30:27.644000
t: 867119,p: 2687.00,b: 1306.00,g: 4095.00,2018-10-31_16:30:27.683000
t: 867139,p: 2687.00,b: 1304.00,g: 4095.00,2018-10-31_16:30:27.722000
t: 867159,p: 2687.00,b: 1306.00,g: 4095.00,2018-10-31_16:30:27.774000
t: 867179,p: 2691.00,b: 1306.00,g: 4095.00,2018-10-31_16:30:27.825000
t: 867199,p: 2687.00,b: 1309.00,g: 4095.00,2018-10-31_16:30:27.876000
t: 867219,p: 2689.00,b: 1305.00,g: 4095.00,2018-10-31_16:30:27.924000
t: 867239,p: 2687.00,b: 1310.00,g: 4095.00,2018-10-31_16:30:27.965000
t: 867259,p: 2687.00,b: 1305.00,g: 4095.00,2018-10-31_16:30:28.016000
t: 867279,p: 2689.00,b: 1308.00,g: 4095.00,2018-10-31_16:30:28.067000
t: 867299,p: 2687.00,b: 1307.00,g: 4095.00,2018-10-31_16:30:28.117000
t: 867319,p: 2687.00,b: 1309.00,g: 4095.00,2018-10-31_16:30:28.154000
t: 867339,p: 2694.00,b: 1308.00,g: 4095.00,2018-10-31_16:30:28.196000
t: 867359,p: 2689.00,b: 1313.00,g: 4095.00,2018-10-31_16:30:28.250000
"set(['t: 1192039', 'b: 1495.00', 'g: 4095.00', '2018-10-31_16:35:50.367000', 'p: 2687.00'])"
"set(['p: 2689.00', 't: 1192059', '2018-10-31_16:35:50.419000', 'g: 4095.00', 'b: 1495.00'])"
"set(['g: 4095.00', '2018-10-31_16:35:50.472000', 'b: 1495.00', 't: 1192079', 'p: 2690.00'])"
"set(['b: 1497.00', 'p: 2687.00', '2018-10-31_16:35:50.533000', 'g: 4095.00', 't: 1192099'])"
"set(['g: 4095.00', '2018-10-31_16:35:50.586000', 't: 1192119', 'b: 1493.00', 'p: 2687.00'])"
"set(['t: 1192139', 'b: 1490.00', 'p: 2691.00', 'g: 4095.00', '2018-10-31_16:35:50.640000'])"
"set(['2018-10-31_16:35:50.694000', 'b: 1490.00', 'g: 4095.00', 't: 1192159', 'p: 2687.00'])"
