time,pulse,datetime
26619,988,2018-11-08_10:07:10.431000
26639,1051,2018-11-08_10:07:10.518000
26659,1104,2018-11-08_10:07:10.641000
26679,1127,2018-11-08_10:07:10.741000
26699,1125,2018-11-08_10:07:10.825000
26719,1158,2018-11-08_10:07:10.909000
26739,1346,2018-11-08_10:07:10.987000
26759,1861,2018-11-08_10:07:11.037000
26779,2703,2018-11-08_10:07:11.096000
26799,3883,2018-11-08_10:07:11.153000
26819,3883,2018-11-08_10:07:11.202000
26839,3879,2018-11-08_10:07:11.257000
26859,3879,2018-11-08_10:07:11.385000
26879,3883,2018-11-08_10:07:11.496000
26899,3883,2018-11-08_10:07:11.564000
26919,3879,2018-11-08_10:07:11.635000
26939,3879,2018-11-08_10:07:11.772000
26959,3887,2018-11-08_10:07:11.901000
26979,3527,2018-11-08_10:07:12.005000
26999,2555,2018-11-08_10:07:12.091000
27019,1862,2018-11-08_10:07:12.203000
27039,1365,2018-11-08_10:07:12.305000
27059,1106,2018-11-08_10:07:12.388000
27079,1052,2018-11-08_10:07:12.474000
27099,1141,2018-11-08_10:07:12.599000
27119,1276,2018-11-08_10:07:12.710000
27139,1387,2018-11-08_10:07:12.836000
27159,1444,2018-11-08_10:07:12.969000
27179,1413,2018-11-08_10:07:13.072000
27199,1314,2018-11-08_10:07:13.157000
27219,1178,2018-11-08_10:07:13.241000
27239,1044,2018-11-08_10:07:13.326000
27259,929,2018-11-08_10:07:13.411000
27279,837,2018-11-08_10:07:13.497000
27299,797,2018-11-08_10:07:13.583000
27319,780,2018-11-08_10:07:13.672000
27339,784,2018-11-08_10:07:13.757000
27359,815,2018-11-08_10:07:13.855000
27379,853,2018-11-08_10:07:13.951000
27399,901,2018-11-08_10:07:14.049000
27419,935,2018-11-08_10:07:14.181000
27439,956,2018-11-08_10:07:14.309000
27459,972,2018-11-08_10:07:14.411000
27479,969,2018-11-08_10:07:14.552000
27499,961,2018-11-08_10:07:14.693000
27519,947,2018-11-08_10:07:14.832000
27539,941,2018-11-08_10:07:14.928000
27559,1051,2018-11-08_10:07:15.016000
27579,1463,2018-11-08_10:07:15.101000
27599,2195,2018-11-08_10:07:15.189000
27619,3231,2018-11-08_10:07:15.278000
27639,3886,2018-11-08_10:07:15.373000
27659,3867,2018-11-08_10:07:15.469000
27679,3882,2018-11-08_10:07:15.559000
27699,3879,2018-11-08_10:07:15.649000
27719,3879,2018-11-08_10:07:15.738000
27739,3886,2018-11-08_10:07:15.846000
27759,3879,2018-11-08_10:07:15.977000
27779,3879,2018-11-08_10:07:16.093000
27799,3015,2018-11-08_10:07:16.225000
27819,2167,2018-11-08_10:07:16.339000
27839,1475,2018-11-08_10:07:16.429000
27859,998,2018-11-08_10:07:16.504000
27879,777,2018-11-08_10:07:16.566000
27899,792,2018-11-08_10:07:16.622000
27919,960,2018-11-08_10:07:16.683000
27939,1186,2018-11-08_10:07:16.754000
27959,1363,2018-11-08_10:07:16.882000
27979,1463,2018-11-08_10:07:17.006000
27999,1453,2018-11-08_10:07:17.112000
28019,1350,2018-11-08_10:07:17.195000
28039,1215,2018-11-08_10:07:17.264000
28059,1045,2018-11-08_10:07:17.337000
28079,888,2018-11-08_10:07:17.399000
28099,761,2018-11-08_10:07:17.463000
28119,688,2018-11-08_10:07:17.549000
28139,660,2018-11-08_10:07:17.630000
28159,688,2018-11-08_10:07:17.739000
28179,749,2018-11-08_10:07:17.860000
28199,827,2018-11-08_10:07:17.981000
28219,906,2018-11-08_10:07:18.100000
28239,974,2018-11-08_10:07:18.187000
28259,1010,2018-11-08_10:07:18.271000
28279,1035,2018-11-08_10:07:18.349000
28299,1020,2018-11-08_10:07:18.425000
28319,997,2018-11-08_10:07:18.509000
28339,957,2018-11-08_10:07:18.591000
28359,933,2018-11-08_10:07:18.661000
28379,1010,2018-11-08_10:07:18.727000
28399,1357,2018-11-08_10:07:18.877000
28419,2019,2018-11-08_10:07:19.014000
28439,2927,2018-11-08_10:07:19.149000
28459,3875,2018-11-08_10:07:19.284000
28479,3878,2018-11-08_10:07:19.402000
28499,3879,2018-11-08_10:07:19.529000
28519,3879,2018-11-08_10:07:19.637000
28539,3883,2018-11-08_10:07:19.763000
28559,3879,2018-11-08_10:07:19.849000
28579,3875,2018-11-08_10:07:19.938000
28599,3661,2018-11-08_10:07:20.068000
28619,2690,2018-11-08_10:07:20.187000
28639,1995,2018-11-08_10:07:20.307000
28659,1427,2018-11-08_10:07:20.429000
28679,1056,2018-11-08_10:07:20.548000
28699,880,2018-11-08_10:07:20.662000
28719,903,2018-11-08_10:07:20.745000
28739,1057,2018-11-08_10:07:20.879000
28759,1249,2018-11-08_10:07:20.967000
28779,1408,2018-11-08_10:07:21.068000
28799,1493,2018-11-08_10:07:21.182000
28819,1490,2018-11-08_10:07:21.274000
28839,1408,2018-11-08_10:07:21.366000
28859,1264,2018-11-08_10:07:21.432000
28879,1094,2018-11-08_10:07:21.527000
28899,928,2018-11-08_10:07:21.656000
28919,793,2018-11-08_10:07:21.801000
28939,720,2018-11-08_10:07:21.917000
28959,696,2018-11-08_10:07:22.009000
28979,710,2018-11-08_10:07:22.101000
28999,757,2018-11-08_10:07:22.182000
29019,830,2018-11-08_10:07:22.266000
29039,909,2018-11-08_10:07:22.349000
29059,986,2018-11-08_10:07:22.468000
29079,1057,2018-11-08_10:07:22.543000
29099,1093,2018-11-08_10:07:22.622000
29119,1094,2018-11-08_10:07:22.729000
29139,1072,2018-11-08_10:07:22.859000
29159,1021,2018-11-08_10:07:22.985000
29179,992,2018-11-08_10:07:23.096000
29199,1101,2018-11-08_10:07:23.184000
29219,1479,2018-11-08_10:07:23.269000
29239,2203,2018-11-08_10:07:23.357000
29259,3235,2018-11-08_10:07:23.478000
29279,3879,2018-11-08_10:07:23.604000
29299,3871,2018-11-08_10:07:23.692000
29319,3879,2018-11-08_10:07:23.772000
29339,3879,2018-11-08_10:07:23.853000
29359,3883,2018-11-08_10:07:23.935000
29379,3879,2018-11-08_10:07:24.015000
29399,3879,2018-11-08_10:07:24.103000
29419,3879,2018-11-08_10:07:24.208000
29439,3325,2018-11-08_10:07:24.305000
29459,2388,2018-11-08_10:07:24.394000
29479,1687,2018-11-08_10:07:24.479000
29499,1200,2018-11-08_10:07:24.565000
29519,950,2018-11-08_10:07:24.629000
29539,928,2018-11-08_10:07:24.704000
29559,1069,2018-11-08_10:07:24.760000
29579,1261,2018-11-08_10:07:24.811000
29599,1432,2018-11-08_10:07:24.898000
